,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,WIFI,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
1824,5,5,3,4,4,4,0,0,5,6,6,6,6,6,5
1825,3,5,5,5,5,5,5,5,5,3,4,6,6,6,5
1826,3,6,6,5,5,5,6,6,1,5,5,6,5,6,4
1827,5,4,4,4,4,5,6,6,3,2,6,5,6,3,5
1828,4,4,4,3,6,3,6,6,2,4,6,3,6,3,4
1829,4,4,4,5,5,4,6,6,6,6,6,5,6,4,4
1830,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1831,6,4,6,4,4,4,6,6,6,4,4,4,6,6,4
1832,5,5,5,5,5,5,5,6,6,4,6,5,6,5,5
1833,5,4,4,5,5,5,6,5,6,5,6,5,6,3,5
1834,4,4,3,4,4,4,3,3,3,4,4,4,4,4,4
1835,5,5,5,5,5,5,5,5,5,5,0,5,0,5,0
1836,0,4,4,4,5,4,6,6,4,5,5,5,5,5,5
1837,5,4,4,5,5,5,6,6,4,5,6,4,6,4,4
